parameter,paper_value,paper_location,repository_value,stage13_value,unit,match_status,evidence,notes
A3C Learning Rate,0.0002,Section V-C,0.0002,0.0002,lr,EXACT MATCH,Section V-C explicitly selects lr = 0.0002,SharedAdam optimizer
A3C Optimizer,Adam / SharedAdam,Section IV-D,SharedAdam,SharedAdam,optimizer,EXACT MATCH,Section IV-D specifies asynchronous gradient updates,Multi-threaded SharedAdam
A3C Parallel Workers,Unspecified in Paper,Section IV-D,4,2,workers,MATCH WITH DOCUMENTED ADAPTATION,Colab free tier provides 2 vCPUs,Explicitly documented hardware adaptation
A3C Training Episodes,500,"Section V-B, Fig 4",500,500,episodes,EXACT MATCH,Fig 4 plots convergence over 500 episodes,Full training convergence
Mobility Training Epochs,25,Table II,25,25,epochs,EXACT MATCH,Table II specifies GAT-GRU epochs = 25,GAT-GRU model trained for 25 epochs
Random Seeds,Unspecified in Paper,Section V-A,"[42, 43, 44, 45, 46]","[42, 43, 44, 45, 46]",seeds,INFERRED,Paper does not specify PRNG seeds,5 independent seeds tested
Evaluation Episodes per Seed,Unspecified in Paper,Section V-A,20,50,episodes,INFERRED,Paper reports mean curves across test runs,250 total evaluation episodes per method
Queue Initialization,Unspecified in Paper,Section III-C,0.0,0.0,cycles,UNKNOWN / PAPER DOES NOT SPECIFY,Paper text does not disclose initial queue backlog N_m(0),Idle corridor initializes queue to 0
Delay Accounting Definition,T_up + T_pro + T_wait,"Eq 6, 10",T_up + T_pro + T_wait,T_up + T_pro + T_wait,s,EXACT MATCH,Eq 6 & 10 define total delay,Per-task physical latency
Energy Accounting Definition,E_ts + E_pro,"Eq 11, 12",E_ts + E_pro,E_ts + E_pro,J,EXACT MATCH,Eq 11 & 12 define transmission and computation energy,Per-task physical energy
Task Completion Definition,Total Delay <= Deadline,Section V-A,Total Delay <= Deadline,Total Delay <= Deadline,ratio,EXACT MATCH,Section V-A defines completion ratio,Binary thresholding at deadline d
